query,objects1,objects2,locations1,locations2,actions1,actions2,actions3,actions4,actions5,intentions1,intentions2,intentions3,intentions4,persons1,persons2,persons3,persons4,relationships1,relationships2,circumstances1,circumstances2,circumstances3,task,language
A person put me in fear by saying they would harm my family unless I gave them property.,property,,,,threatened,forced,put in fear,,,to give,unless given,,,accused,victim,,,,,harm my family,under threat,,entity_extraction,en
Someone threatened me to give them money or they would harm my family.,money,,,,threatened,forced,put in fear,,,to give,unless given,,,accused,victim,,,,,harm my family,under threat,,entity_extraction,en
Someone threatened me to give them money or they would spread false information.,money,,,,threatened,forced,put in fear,,,to give,unless given,,,accused,victim,,,,,spread false information,under threat,,entity_extraction,en
I was forced to give property because someone threatened to damage my property.,property,,,,threatened,forced,put in fear,,,to give,unless given,,,accused,victim,,,,,damage my property,under threat,,entity_extraction,en
A person put me in fear by saying they would harm my family unless I gave them valuables.,valuables,,,,threatened,forced,put in fear,,,to give,unless given,,,accused,victim,,,,,harm my family,under threat,,entity_extraction,en
Someone threatened me to give them money or they would harm my family.,money,,,,threatened,forced,put in fear,,,to give,unless given,,,accused,victim,,,,,harm my family,under threat,,entity_extraction,en
I was forced to give valuables because someone threatened to spread false information.,valuables,,,,threatened,forced,put in fear,,,to give,unless given,,,accused,victim,,,,,spread false information,under threat,,entity_extraction,en
I was forced to give property because someone threatened to cause hurt.,property,,,,threatened,forced,put in fear,,,to give,unless given,,,accused,victim,,,,,cause hurt,under threat,,entity_extraction,en
I was forced to give money because someone threatened to damage my property.,money,,,,threatened,forced,put in fear,,,to give,unless given,,,accused,victim,,,,,damage my property,under threat,,entity_extraction,en
Someone threatened me to give them money or they would damage my property.,money,,,,threatened,forced,put in fear,,,to give,unless given,,,accused,victim,,,,,damage my property,under threat,,entity_extraction,en
A person put me in fear by saying they would harm my family unless I gave them money.,money,,,,threatened,forced,put in fear,,,to give,unless given,,,accused,victim,,,,,harm my family,under threat,,entity_extraction,en
A person put me in fear by saying they would spread false information unless I gave them money.,money,,,,threatened,forced,put in fear,,,to give,unless given,,,accused,victim,,,,,spread false information,under threat,,entity_extraction,en
I was attacked and my jewelry was taken by force in alley.,jewelry,stick,alley,,threatened,took,attacked,stealing,taken by force,,,,,accused,victim,,,,,injury,under threat,by force,entity_extraction,en
I was attacked and my jewelry was taken by force in road.,jewelry,weapon,road,,threatened,took,attacked,stealing,taken by force,,,,,accused,victim,,,,,injury,under threat,by force,entity_extraction,en
Someone used gun to threaten me and took my jewelry in alley.,jewelry,gun,alley,,threatened,took,attacked,stealing,taken by force,,,,,accused,victim,,,,,wrongful restraint,under threat,by force,entity_extraction,en
Someone used stick to threaten me and took my phone in park.,phone,stick,park,,threatened,took,attacked,stealing,taken by force,,,,,accused,victim,,,,,physical harm,under threat,by force,entity_extraction,en
Someone used stick to threaten me and took my jewelry in alley.,jewelry,stick,alley,,threatened,took,attacked,stealing,taken by force,,,,,accused,victim,,,,,wrongful restraint,under threat,by force,entity_extraction,en
A person caused me wrongful restraint while stealing my jewelry.,jewelry,knife,park,,threatened,took,attacked,stealing,taken by force,,,,,accused,victim,,,,,wrongful restraint,under threat,by force,entity_extraction,en
Someone used knife to threaten me and took my jewelry in road.,jewelry,knife,road,,threatened,took,attacked,stealing,taken by force,,,,,accused,victim,,,,,hurt,under threat,by force,entity_extraction,en
I was attacked and my jewelry was taken by force in street.,jewelry,knife,street,,threatened,took,attacked,stealing,taken by force,,,,,accused,victim,,,,,injury,under threat,by force,entity_extraction,en
I was attacked and my wallet was taken by force in street.,wallet,knife,street,,threatened,took,attacked,stealing,taken by force,,,,,accused,victim,,,,,injury,under threat,by force,entity_extraction,en
A person caused me physical harm while stealing my wallet.,wallet,weapon,road,,threatened,took,attacked,stealing,taken by force,,,,,accused,victim,,,,,physical harm,under threat,by force,entity_extraction,en
I was attacked and my wallet was taken by force in road.,wallet,weapon,road,,threatened,took,attacked,stealing,taken by force,,,,,accused,victim,,,,,wrongful restraint,under threat,by force,entity_extraction,en
A person caused me hurt while stealing my phone.,phone,weapon,park,,threatened,took,attacked,stealing,taken by force,,,,,accused,victim,,,,,hurt,under threat,by force,entity_extraction,en
I was attacked and my phone was taken by force in road.,phone,weapon,road,,threatened,took,attacked,stealing,taken by force,,,,,accused,victim,,,,,hurt,under threat,by force,entity_extraction,en
A person caused me injury while stealing my bag.,bag,knife,alley,,threatened,took,attacked,stealing,taken by force,,,,,accused,victim,,,,,injury,under threat,by force,entity_extraction,en
Someone used knife to threaten me and took my bag in road.,bag,knife,road,,threatened,took,attacked,stealing,taken by force,,,,,accused,victim,,,,,physical harm,under threat,by force,entity_extraction,en
A person caused me injury while stealing my jewelry.,jewelry,knife,street,,threatened,took,attacked,stealing,taken by force,,,,,accused,victim,,,,,injury,under threat,by force,entity_extraction,en
I was attacked and my phone was taken by force in road.,phone,stick,road,,threatened,took,attacked,stealing,taken by force,,,,,accused,victim,,,,,hurt,under threat,by force,entity_extraction,en
Someone used weapon to threaten me and took my phone in road.,phone,weapon,road,,threatened,took,attacked,stealing,taken by force,,,,,accused,victim,,,,,injury,under threat,by force,entity_extraction,en
Someone used stick to threaten me and took my phone in alley.,phone,stick,alley,,threatened,took,attacked,stealing,taken by force,,,,,accused,victim,,,,,injury,under threat,by force,entity_extraction,en
I was attacked and my bag was taken by force in park.,bag,gun,park,,threatened,took,attacked,stealing,taken by force,,,,,accused,victim,,,,,physical harm,under threat,by force,entity_extraction,en
Someone used knife to threaten me and took my jewelry in road.,jewelry,knife,road,,threatened,took,attacked,stealing,taken by force,,,,,accused,victim,,,,,physical harm,under threat,by force,entity_extraction,en
I was attacked and my bag was taken by force in road.,bag,weapon,road,,threatened,took,attacked,stealing,taken by force,,,,,accused,victim,,,,,injury,under threat,by force,entity_extraction,en
I was attacked and my bag was taken by force in road.,bag,knife,road,,threatened,took,attacked,stealing,taken by force,,,,,accused,victim,,,,,injury,under threat,by force,entity_extraction,en
A person caused me physical harm while stealing my phone.,phone,stick,street,,threatened,took,attacked,stealing,taken by force,,,,,accused,victim,,,,,physical harm,under threat,by force,entity_extraction,en
Someone used stick to threaten me and took my phone in street.,phone,stick,street,,threatened,took,attacked,stealing,taken by force,,,,,accused,victim,,,,,physical harm,under threat,by force,entity_extraction,en
Someone used knife to threaten me and took my bag in street.,bag,knife,street,,threatened,took,attacked,stealing,taken by force,,,,,accused,victim,,,,,injury,under threat,by force,entity_extraction,en
I was attacked and my jewelry was taken by force in street.,jewelry,weapon,street,,threatened,took,attacked,stealing,taken by force,,,,,accused,victim,,,,,injury,under threat,by force,entity_extraction,en
A person caused me wrongful restraint while stealing my wallet.,wallet,knife,road,,threatened,took,attacked,stealing,taken by force,,,,,accused,victim,,,,,wrongful restraint,under threat,by force,entity_extraction,en
I was attacked and my jewelry was taken by force in park.,jewelry,gun,park,,threatened,took,attacked,stealing,taken by force,,,,,accused,victim,,,,,wrongful restraint,under threat,by force,entity_extraction,en
Someone used gun to threaten me and took my phone in alley.,phone,gun,alley,,threatened,took,attacked,stealing,taken by force,,,,,accused,victim,,,,,injury,under threat,by force,entity_extraction,en
Someone used stick to threaten me and took my wallet in alley.,wallet,stick,alley,,threatened,took,attacked,stealing,taken by force,,,,,accused,victim,,,,,wrongful restraint,under threat,by force,entity_extraction,en
I was attacked and my phone was taken by force in road.,phone,weapon,road,,threatened,took,attacked,stealing,taken by force,,,,,accused,victim,,,,,hurt,under threat,by force,entity_extraction,en
A person caused me hurt while stealing my wallet.,wallet,weapon,road,,threatened,took,attacked,stealing,taken by force,,,,,accused,victim,,,,,hurt,under threat,by force,entity_extraction,en
